Ankave	aak
Lotuko	lot
Lopa (Nepal)	loy
Lozi	loz
Larrakia	lrg
Leko	lse
Losengo	lse
Lashi	lsi
Luxembourgish	ltz
Luba-Lulua	lua
Luba-Katanga	lub
Ludic	lud
Luvale	lue
Ganda	lug
Luiseño	lui
Lunda	lun
Luo (Kenya and Tanzania)	luo
Lumbu (Gabon)	lup
Lushai	lus
Nisqually	lut
Hanga (Kenya)	luy
Kisa	luy
Luyia	luy
Maku'a (Indonesia)	lva
Lavukaleve	lvk
Lwo (Sudan)	lwo
Luyana	lyn
Laz	lzz
Madurese	mad
Mafa	maf
Magahi	mag
Marshallese	mah
Maithili	mai
Khotta	mai
Makasar	mak
Malayalam	mal
Moplah	mal
Mandingo	man
Jha?d?i? dialect	mar
Koshti (Marathi)	mar
Marathi	mar
Are dialect	mar
Kwafi	mas
Masai	mas
Matlatzinca	mat
Maue	mav
Mampruli	maw
Higaonon	mba
Western Bukidnon Manobo	mbb
Macusi	mbc
Dibabawon	mbd
Mangseng	mbh
Ilianen Manobo	mbi
Masacali	mbl
Macaguan	mbn
Mbo (Cameroon)	mbo
Damana	mbp
Maisin	mbq
Macú	mbr
Sarangani Manobo	mbs
MatigSalug	mbt
Maring	mbw
Maca	mca
Machiguenga	mcb
Sharanahua	mcd
Mayoruna	mcf
Yecuana	mch
Mbunda (Angola and Zambia)	mck
Kristang	mcm
Masa (Chadic)	mcn
Maka (Cameroon)	mcp
Managalasi	mcq
Mpiemo	mcx
Gbete dialect	mdd
Mbum	mdd
Maba	mde
Moksha	mdf
Magindanao	mdh
Mamvu	mdi
Mangbetu	mdj
"Mbala (Bandundu, Congo)"	mdp
Mandar	mdr
Mbete	mdt
Mbosi	mdw
Dizi	mdx
Male (Ethiopia)	mdy
Mara (Australia)	mec
Medlpa	med
Midob	mei
Meax	mej
Mekeo	mek
Mangala	mem
Mende	men
Meru	mer
Motu	meu
Mano	mev
Hassaniyya dialect	mey
Menominee	mez
Pattani (Thailand)	mfa
Lom	mfb
Malgwa	mfi
Wandala	mfi
Moba	mfq
Mexican Sign	mfs
Mandjak	mfv
Mayo (Piman)	mfy
Maban	mfz
Moru	mgd
Migili	mgi
Mambai	mgm
Meta language (Cameroon)	mgo
Mambwe	mgr
Mambwe-Lungu	mgr
Lungu	mgr
Mailu	mgu
Matumbi	mgw
Mbugwe	mgz
Mochó	mhc
Mbugu	mhd
Besisi	mhe
Ma'di (Uganda and Sudan)	mhi
Moghol	mhj
Mungaka	mhk
Mandan	mhq
Buru	mhs
Digaro	mhu
Mbukushu	mhw
Maru	mhx
Maanyan	mhy
Illinois	mia
Miami (Ind. and Okla.)	mia
Micmac	mic
Mandaean	mid
Southern Mofu	mif
Hitchiti	mik
Mikasuki	mik
Minangkabau	min
Jamee	min
Mukomuko	min
Miskito	miq
Mongour	mjg
Mandeali	mjl
Malto	mjt
Mikir	mjw
Mahican	mjy
Macedonian	mkd
Miya	mkf
Mokilese	mkj
Moklen	mkm
East Makian	mky
Makasai	mkz
Manambu	mle
Taimoro	mlg
Malagasy	mlg
Mulao	mlm
Mugil	mlp
Maltese	mlt
To'abaita	mlu
Motlav	mlv
Malfaxal	mlx
Maonan	mmd
Mamanwa	mmn
Mandak	mmx
Jongor	mmy
Mangap	mna
Muna	mnb
Mawasangka	mnb
Manchu	mnc
Mundani	mnf
Eastern Mnong	mng
Mono (Congo)	mnh
Manipuri	mni
Munji	mnj
Mansi	mns
Rennellese	mnv
Mon	mnw
Muana	moa
Montagnais	moe
Mohegan	mof
Narragansett	mof
Bolaang Mongondow	mog
Mohawk	moh
Monjombo	moj
Mongolian	mon
Mopan	mop
Moro (Sudan)	mor
Yana (Burkina Faso and Togo)	mos
Mooré	mos
Motilon	mot
Mohave	mov
Molima	mox
Mocha	moy
Mokulu	moz
Mullukmulluk	mpb
Mangarayi	mpc
Majang	mpe
Maung	mph
Mandjildjara	mpj
Martu Wangka	mpj
Mbara (Chad)	mpk
Daribi	mps
Mianmin	mpt
Misima	mpx
Misima-Panayati	mpx
Panayati	mpx
Mbuko	mqb
Mbelime	mql
Moronene	mqn
West Makian	mqs
Mouk	mqt
Manggarai (Indonesia)	mqy
Mlabri	mra
Maricopa	mrc
Lakher	mrh
Maori	mri
Mortlockese	mrl
Cheke Holo	mrn
Nukahiva	mrq
Abujhmaria	mrr
Madiya-Gondi	mrr
Mangareva	mrv
Lanao Moro	mrw
Maranao	mrw
Masbateno	msb
Musei	mse
Masikoro	msh
Mansaka	msk
Agusan Manobo	msm
Musom	msu
Cotabato Manobo	mta
Mono-Alu	mte
Una	mtg
Mator	mtm
Muong	mtq
Mewari	mtr
Mota	mtt
Mundang	mua
Musgu	mug
Vulum	mug
Mpus	mug
Mundu (Sudan and Congo)	muh
Penesak	mui
Musi	mui
Rawas	mui
Lematang	mui
Malvi	mup
Murle	mur
Creek	mus
Seminole	mus
Muduva	muv
Miyemu	mux
Manam	mva
Mattole	mvb
Ordos	mvf
Chahar	mvf
Minaveha	mvn
Marovo	mvo
Maiya	mvy
Mesqan	mvz
Mukawa	mwc
Mudburra	mwd
Murrinhpatha	mwf
Labo	mwi
Mirandese	mwl
Majingai	mwm
Mabuiag	mwp
Mün Chin	mwq
Dingal	mwr
Marwari	mwr
Moken	mwt
Mentawai	mwv
White Hmong	mww
Manyika	mxc
Mele-Fila	mxe
Miju	mxj
Monumbo	mxk
Maxi	mxl
Mada (Cameroon)	mxu
Mau	mxx
Munduruku	my
Burmese	mya
Mbai (Moissala)	myb
Mpongwe	mye
Mamara	myk
Mura	myp
Pirahá	myp
Munichi	myr
Muyuw	myw
Gisu	myx
Macuna	myy
Mzab	mzb
Mumuye	mzm
Movima	mzp
Mori	mzq
Mo (Côte d'Ivoire and Ghana)	mzw
Narak	nac
Nabak	naf
Nahuatl	nah
Nakanai	nak
Nalik	nal
Ngankikurungkurr	nam
Nama	naq
Kongara	nas
Nauru	nau
Navajo	nav
Narrinyeri	nay
Ganguela	nba
Chang	nbc
Konyak	nbe
Naxi	nbf
Mao Naga	nbi
Ngarinyman	nbj
Ndebele (South Africa)	nbl
Ngbaka ma'bo	nbm
Rongmei	nbu
Wangkumara (Galali)	nbx
Nahu	nca
Nancowry	ncb
Notsi	ncf
Niska	ncg
Nakara	nck
Sibo	nco
Nicaraguan Sign	ncs
Chothe Naga	nct
Nchumburu	ncu
Natchez	ncz
Taensa	ncz
Ndau	ndc
Ndebele (Zimbabwe)	nde
Ndali	ndh
Samba Leko	ndi
Ndonga	ndo
Ndunga	ndt
Tura	neb
Kumak	nee
Negidal	neg
Nemi	nem
Nengone	nen
Baitadi dialect	nep
Nepali	nep
Nyaheun	nev
Newari	new
Pahri	new
Dolakha	new
Nez Percé	nez
Ayiwo	nfl
Nafaanra	nfr
Ngombe	ngc
Doko (Congo)	ngc
Ngemba (Cameroon)	nge
Mankon	nge
Khomani	ngh
Ngizim	ngi
Lomwe language (Mozambique)	ngl
Ngatik	ngm
Ngoni language (Tanzania and Mozambique)	ngo
Beng	nhb
Chiripá	nhd
Takuu	nho
Nharo	nhr
Noone	nhu
Nias	nia
Ngandi	nid
Nielim	nie
Ngalakan	nig
Nyiha	nih
Nii	nii
Ngaju	nij
Katingan	nij
Kahayan	nij
Nilamba	nim
Nganasan	nio
Nimboran	nir
Niuean	niu
Gilyak	niv
Ngiti	niy
Nocte	njb
Lhota	njh
Tenyidie dialect	njm
Angami	njm
Liangmai Naga	njn
Ao	njo
Ngadju (Australia)	nju
Nkoya	nka
Khezha	nkh
Nogugu	nkk
Nkunya	nko
Nukuoro	nkr
Dutch	nld
Florida	nlg
Nihali	nll
Maram	nma
Big Nambas	nmb
Ngama	nmc
Ndumu	nmd
Tangkhul	nmf
Ukhrul	nmf
Bisio	nmg
Moshang	nmh
Namakura	nmk
Nambya	nmq
Nawdm	nmz
Nyangumarta	nna
Nande	nnb
Nancere	nnc
Ngyemboon	nnh
Nankina	nnk
Namia	nnm
Norwegian (Nynorsk)	nno
Wancho	nnp
Nanticoke	nnt
Nukunu	nnv
Waunana	noa
Northern Thai	nod
Nimadi	noe
Nogai	nog
Old Norse	non
Nootka	noo
Norwegian	nor
Nomatsiguenga	not
Notu	nou
Novial (Artificial)	nov
Nyambo	now
Phom	nph
Pochury	npo
Napu	npy
Baria	nrb
Rengma	nre
Chakhesang	nri
Ngarluma	nrl
Norn	nrn
Lala	nrz
Sangtam	nsa
Senga	nse
Naskapi	nsk
Sema	nsm
Nehan	nsn
Gananwa	nso
Lobedu	nso
Northern Sotho	nso
Northern Sierra Miwok	nsq
Nali	nss
Moklum	nst
Tangsa	nst
Lungchang	nst
Yogli	nst
Nisenan	nsz
Ngaanyatjara	ntj
Nateni	ntm
Ntomba	nto
Natanzi	ntz
Kombe	nui
Nung	nun
Nguôn	nuo
Nupe	nup
Nuer	nus
Tay-Nung	nut
Nunggubuyu	nuy
Nyabwa	nwb
Bangwa	nwe
Ngada	nxg
Ngawun	nxn
Chewa	nya
Nyanja	nya
Nyore	nyd
Giryama	nyf
Nyikina	nyh
Nyanga	nyj
Nyaneka	nyk
Nyamwezi	nym
Nyankole	nyn
Nyoro	nyo
Nyungwe	nyu
Nyulnyul	nyv
Ngonde	nyy
Nzebi	nzb
Nzima	nzi
Nzakara	nzk
Zeme	nzm
New Zealand Sign	nzs
Orok	oaa
Oroch	oac
Bagobo	obo
Manuvu	obo
Obo Manobo	obo
Ocaina	oca
Béarnais	oci
Gascon	oci
Occitan	oci
Ocuiltec	ocu
Odual	odu
Ofo	ofo
Kana	ogo
Ogbronuagum	ogu
Nipissing	ojc
Ojibwa	oji
"Japanese--Heian period, 794-1185"	ojp
Leuangiua	ojv
Colville	oka
Okanagan	oka
"Korean--Middle Korean, 935-1500"	okm
Korean--To 935	oko
Okrika	okr
Orokaiva	okv
Olonets	olo
Omaha	oma
Yunca	omc
Omi	omi
Ombo	oml
Ona	ona
Be	onb
Oneida	one
Olo	ong
Onondaga	ono
Ono	ons
Tohono O'Odham	ood
Pima	ood
Önge	oon
Oksapmin	opm
Eudeve	opt
Opata	opt
Orma	orc
Orejón	ore
Oroqen	orh
Oriya	ori
Sambalpuri	ori
Oromo	orm
Orokolo	oro
Adiwasi Oriya	ort
Ormuri	oru
Ormu	orz
Osage	osa
Oscan	osc
Osing	osi
Ossetic	oss
Old Saxon	osx
Ot Danum	otd
Old Turkic	otk
Ottawa	otw
Ouargla	oua
Wayampi	oym
Koozime	ozm
Oghuz	ozn
Paressi	pab
Pacoh	pac
Purupuru	pad
Pangasinan	pag
Parintintin	pah
Tenharim	pah
Pahlavi	pal
Pampanga	pam
Panjabi	pan
Northern Paiute	pao
Parya	paq
Panamint	par
Palauan	pau
Pakaasnovos	pav
Pawnee	paw
Paez	pbb
Panzaleo	pbb
Patamona	pbc
Paraujano	pbg
Panare	pbh
Paduko	pbi
Badyara	pbp
Pangwa	pbr
Kaili	pbz
Pear	pcb
Bouyei	pcc
Yay	pcc
Parji	pci
Parengi	pcj
Paite	pck
Pennsylvania German	pdc
Kayan	pdu
Peranakan Indonesian	pea
Eastern Pomo	peb
Pay	ped
Pengo	peg
Bonan	peh
Northern Pomo	pej
Pekal	pel
Pende	pem
Old Persian	peo
Petats	pex
Phalura	phl
Phoenician	phn
Pothwari	phr
Phu Thai	pht
Pima Bajo	pia
Piaroa	pid
Piro (Tanoan)	pie
Pingelap	pif
Pitcairnese	pih
Quioucohanock	pim
Powhatan	pim
Piapoco	pio
Pero	pip
Piratapuyo	pir
Pitta Pitta	pit
Pintupi	piu
Pileni	piv
Pitjantjatjara	pjt
Suk	pko
Paku	pku
Pilaga	plg
Pali	pli
Oluta	plo
Palaic	plq
Betsileo	plt
Palicur	plu
Paama	pma
Bareë	pmf
Pamona	pmf
Tuamotuan	pmt
Plains Miwok	pmw
Pinai-Hagahai	pnn
Panobo	pno
Ponosakan	pns
Banyjima	pnw
Pinyin	pny
Sierra Popoluca	poi
Polish	pol
Southeastern Pomo	pom
Ponape	pon
Central Pomo	poo
Portuguese	por
Sayula	pos
Potawatomi	pot
Crioulo	pov
Polabian	pox
Pogoro	poy
Paipai	ppi
Uma	ppk
Pipil	ppl
Folopa	ppo
Pelende	ppp
Asu	ppt
Passamaquoddy	pqm
Prussian	prg
Paici	pri
Provençal	pro
Dari	prs
Madaglashti	prs
Purik	prx
Ogan	pse
Semendo	pse
Serawai	pse
Besemah	pse
Enim	pse
Lintang	pse
Bengkulu	pse
Pauserna	psm
Portuguese Sign	psr
Kaulong	pss
Sauraseni	psu
Port Sandwich	psw
Patep	ptp
Puelche	pue
Puoc	puo
Puquina	puq
Pushto	pus
Punu	puu
Puluwat	puw
Pawaian	pwa
Gapapaiwa	pwg
Melebuganon	pwm
Paiwan	pwn
Powari	pwr
Fyam	pym
Quechua	que
Cañari	quf
Quileute	qui
Sipacapense	qum
Quinault	qun
Sacapulteco	quv
Huanca	qvw
Quenya (Artificial)	qya
Quinnipiac	qyp
Chamling	rab
Rade	rad
Western Meohang	raf
Logooli	rag
Rabha	rah
Rangdania	rah
Ramoaaina	rai
Rajasthani	raj
Canella	ram
Rao	rao
Rapanui	rap
Sami	raq
Mangaian	rar
Rarotongan	rar
Sampang	rav
Rawang	raw
Rembong	reb
"Rejang (Sumatra, Indonesia)"	rej
Rendille	rel
Rengao	ren
Rang Pas	rgk
Resigero	rgr
Roti	rgu
Rif	rif
Riang-lang	ril
Ritarungo	rit
Rajbangsi	rjs
Rikbaktsa	rkb
Arakanese	rki
Rama	rma
Rembarrnga	rmb
Roma	rmm
Caló (Romani)	rmr
Lovari	rmy
Ruund	rnd
Ronga	rng
Northern Roglai	rog
Raeto-Romance	roh
Romani	rom
Romanian	ron/rum
Rotokas	roo
Kriol	rop
Runga	rou
Roro (New Guinea)	rro
Ratahan	rth
Rotuman	rtm
Carpatho-Rusyn	rue
Roviana	rug
Moldavian	rum
Rundi	run
Istro-Romanian	ruo
Aromanian	rup
Russian	rus
Rutul	rut
Rawa	rwo
Bikaneri	rwr
Fox	sac
Sandawe	sad
Sango (Ubangi Creole)	sag
Yakut	sah
Sahu	saj
Samaritan Aramaic	sam
Sanskrit	san
Samburu	saq
Sasak	sas
Santali	sat
Sawi	saw
Saurashtri	saz
Gambai	sba
Mandegusu	sbb
Saliva	sbe
Safwa	sbk
Botolan Sambal	sbl
Sangu (Tanzania)	sbp
Subiya	sbs
Ruc	scb
Dongxiang	sce
Sadani	sck
Shina	scl
Scots	sco
Toraja	sda
Toraja Sa'dan	sda
Bukar Sadong	sdo
Sherdukpen	sdp
Semai	sea
Sechelt	sec
Sedang	sed
Seneca	see
Senari	sef
Tyembara	sef
Sena	seh
Seri	sei
Sekani	sek
Selkup	sel
Koyraboro Senni	ses
Sentani	set
Secoya	sey
South African Sign	sfs
Ayta Anchi Sambal	sgb
Bartang	sgh
Khuf	sgh
Shughni	sgh
Ishkashmi	sgl
Zebaki	sgl
Chaha	sgw
Sursurunga	sgz
Shoshoni	shh
Shilluk	shk
Shan	shn
Shipibo-Conibo	shp
Shi	shr
Shuswap	shs
Shasta	sht
Shauri	shv
Syènara	shz
Sidamo	sid
Mwenyi	sie
Pasaale	sig
Mende (Papua New Guinea)	sim
Sinhalese	sin
Dänjong-kä	sip
Siuslaw	sis
Siwai	siw
Sivandi	siy
Siwa	siz
Epena Saija	sja
Kildin Sami	sjd
Miji	sjl
Jama Mapun	sjm
Sindarin (Artificial)	sjn
Siar-Lak	sjr
Shawnee	sjw
Saek	skb
Sakalava	skg
Sikka	ski
Siraiki Hindki	skr
Siraiki Sindhi	skr
Siraiki	skr
Sakata	skt
Sakau	sku
Skou	skv
Sissala	sld
Soliga	sle
Slovak	slk
Yui	sll
Pangutaran Sama	slm
Salinan	sln
Lamaholot	slp
Lewoingu dialect	slp
Salar	slr
Slovenian	slv
Salampasu	slx
Ma'ya (Indonesia)	slz
Southern Sami	sma
Northern Sami	sme
Lule Sami	smj
Bolinao	smk
Central Sama	sml
Inari Sami	smn
Samoan	smo
Samaritan Hebrew	smp
Samo	smq
Simeulue	smr
Skolt Sami	sms
Simte	smt
Sumbawa	smw
Zezuru	sna
Shona	sna
Korekore	sna
Sinagoro	snc
Sindhi	snd
Bau-Jagoi	sne
Noon	snf
Sanga	sng
Soninke	snk
Sangil	snl
Sioni	snn
Snohomish	sno
Lambau	snp
Siane	snp
Komunku	snp
Sangu (Gabon)	snq
Sobei	sob
Sogdian	sog
Somali	som
Songye	sop
Sembla	sos
Sotho	sot
Southern Thai	sou
Spanish	spa
Selepet	spl
Spokane	spo
Suppire	spp
Saposa	sps
Sapuan	spu
Sabaot	spy
Albanian	sqi
Susquehanna	sqn
Sokotri	sqt
Squawmish	squ
Suquamish	squ
Sora	srb
Sardinian	srd
Sara	sre
Sulod	srg
Sarikoli	srh
Siriano	sri
Saberi	srl
Saramaccan	srm
Sranan	srn
Serbian	srp
Stokavian	srp
Serer	srr
Sarsi	srs
Sirmauri	srx
Sama Sibutu	ssb
Siroi	ssd
Balangingì	sse
Thao	ssf
Sissano	sso
Spanish Sign	ssp
Swazi	ssw
Saho	ssy
Lummi	str
Saanich	str
North Straits Salish	str
Silte	stv
Sulka	sua
Suku (Congo)	sub
Western Subanon	suc
Suena	sue
Suba	suh
Sukuma	suk
Tawahka (Honduras)	sum
Sumo	sum
Ulva	sum
Sundanese	sun
Cirebon	sun
Mupun	sur
Mwaghavul	sur
Susu	sus
Sulung	suv
Sumerian	sux
Sunwar	suz
Svan	sva
Lashkh	sva
Shimaore	swb
Kingwana	swc
Swedish	swe
Mwini dialect	swh
Cifundi	swh
Swahili	swh
Sui	swi
Sira	swj
Swedish Sign	swl
Suau	swp
Saweru	swr
Suwawa	swu
Bune Bonda	swu
Shekhawati	swv
Sangir (Indonesia and Philippines)	sxn
Central Subanen	syb
Sylheti	syl
Syriac	syr
Kagate	syw
Semelai	sza
Sawai	szw
Tabasaran	tab
Tariana	tae
Tapirapé	taf
Tagoi	tag
Tahitian	tah
Tamil	tam
Tangale	tan
Yami	tao
Tabwa	tap
Kitabwa	tap
Mishar	tat
Tatar	tat
Upper Tanana	tau
Pamoa	tav
Atayal	tay
Kaki Ae	tbd
Dharawal	tbh
Ingassana	tbi
Kalamian	tbk
Tboli	tbl
Tavara (Papua New Guinea)	tbo
"Tembo (Sud-Kivu, Congo)"	tbt
Tagbanua	tbw
Somba	tbz
Tucuna	tca
Tanacross	tcb
Southern Tutchone	tce
Toda (India)	tcx
Tulu	tcy
Kuki	tcz
Thado	tcz
Tai Nüa	tdd
Thulung	tdh
Tondano	tdn
Temiar	tea
Tepo	ted
Teke	teg
Tzoneca	teh
Konda?Reddi dialect	tel
Telugu	tel
Temne	tem
Teso	teo
Terena	ter
Tengger	tes
Tetum	tet
So (Uganda)	teu
Tewa	tew
Dena'ina	tfn
Terraba	tfr
Ternate	tft
Tigak	tgc
Tanga (Tanga Islands)	tgg
Tajik	tgk
Tagalog	tgl
Tagula	tgo
Tagbana	tgw
Tagish	tgx
Thai	tha
Thayore	thd
Tharaka	thk
Ntlakyapamuk	thp
Thakali	ths
Tifal	tif
Tigré	tig
Tikar	tik
Tillamook	til
Timbe	tim
Tindi	tin
Teop	tio
Tiéfo	tiq
Tigrinya	tir
Tiv	tiv
Tiwi (Australia)	tiw
Isleta	tix
Tiruray	tiy
Timucua	tjm
Tokelauan	tkl
Takelma	tkm
Tikopia	tkp
Tsakhur	tkr
Tobelo	tlb
Talaud	tld
Nenusa-Miangas	tld
Telefol	tlf
Klingon (Artificial)	tlh
Tlingit	tli
Talinga-Bwisi	tlj
Tetela	tll
Talise	tlr
Sobojo	tlv
Talysh	tly
Avava	tmb
Tumak	tmc
Tamajaq	tmh
Taman language (Indonesia)	tmn
Tumleo	tmq
Tami	tmy
Tacana (Bolivia)	tna
Lenakel	tnl
Tabla	tnm
Tepera	tnm
Taino	tnq
Bedik	tnr
Tontemboan	tnt
Toba (Indian)	tob
Toma	tod
Tonga (Nyasa)	tog
Tonga (Inhambane)	toh
Tojolabal	toj
Tombulu	tom
Tongan	ton
Toposa	toq
Tho	tou
Jemez	tow
Tok Pisin	tpi
Tampulma	tpm
Tupi	tpw
Trumai	tpy
Tinputz	tpz
Tenetehara	tqb
Toaripi	tqo
Tunni	tqq
Tonkawa	tqw
Trio	tri
Kok Borok	trp
Sedik	trv
Torwali	trw
Tsamai	tsb
Tswa	tsc
Tsakonian	tsd
Sulu	tsg
Tausug	tsg
Tsimshian	tsi
Memba	tsj
Tswana	tsn
Tsonga	tso
Thai Sign Language	tsq
Akei	tsr
Tsou	tsu
Tsogo	tsv
Tarascan	tsz
Tutelo	tta
Tectiteco	ttc
Tubetube	tte
Tooro	ttj
Tera	ttr
Tat	ttt
Tubatulabal	tub
Tuyuca	tue
Tupuri	tui
Turkmen	tuk
Tumbuka	tum
Tunica	tun
Tucano	tuo
Teda	tuq
Turkish	tur
Tuscarora	tus
Turkana	tuv
Tugen	tuy
Tuvaluan	tvl
Tidore	tvo
Taveta	tvs
Tutsa	tvt
White Tai	twh
Twi	twi
Tawoyan	twy
Tombonuwo	txa
Tolitoli	txe
Tangut	txg
Thracian	txh
Tonsea	txs
Cayapo	txu
Tatana'	txx
Tauya	tya
Kombai	tyn
Tuvinian	tyv
Ubir	ubr
Gawigl	ubu
Ubykh	uby
Udekhe	ude
Udi	udi
Uldeme	udl
Udmurt	udm
Uduk	udu
Ugaritic	uga
Uighur	uig
Ukrainian	ukr
Olcha	ulc
Umbundu	umb
Umotina	umo
Umpila	ump
Munsee	umu
Ngarinyin	ung
Worora	unp
Bhumij	unr
Unde Kaili	unz
Atchin	upv
Uripiv	upv
Urarina	ura
Urubu	urb
Urubu Kaapor	urb
Urdu	urd
Uru	ure
Urhobo	urh
Urim	uri
Urak Lawoi'	urk
Urali	url
Orya	ury
Usarufa	usa
Uspanteca	usp
Chemehuevi	ute
Southern Paiute	ute
Ute	ute
Greek Tatar	uum
Pazeh	uun
Ura (Vanuatu)	uur
Urii	uvh
Lote	uvl
Uzbek	uzb
Sart	uzn
Vaagri Boli	vaa
Vagala	vag
Varhadi-Nagpuri	vah
Vai	vai
Valman	van
Vaiphei	vap
Guarijío	var
Dehawali	vas
Hayu	vay
Vayu	vay
Veddah (Sinhalese)	ved
Venda	ven
Veps	vep
Vietnamese	vie
Vili	vif
Vige	vig
Vilela	vil
Lule	vil
Iduna	viv
Martuyhunira	vma
Votic	vot
Venezuelan Sign	vsl
Vute	vut
Tlakluit	wac
Wasco	wac
Wandamen	wad
Walser	wae
Waffa	waj
Walamo	wal
Massachuset	wam
Wampanoag	wam
Wappo	wao
Wageman	waq
Washo	was
Waiwai	waw
Wayana	way
Warao	wba
Mwamba	wbh
Waigali	wbk
Wakhi	wbl
Wa	wbm
Warlpiri	wbp
Wagdi	wbr
Watjari	wbv
Wedau	wed
Wewewa	wew
Wangganguru	wgg
Wahgi	wgi
Wichita	wic
Wik-Mungkan	wim
Winnebago	win
Wintu	wit
Wiru	wiu
Wirangu	wiw
Wiyot	wiy
Waja	wja
Wakawaka	wkw
Duungidjawu	wkw
Walloon	wln
Wolio	wlo
East Uvean	wls
Vejoz	wlv
Wambule	wme
Waima'a	wmh
Wambon	wms
Walmatjari	wmt
Wantoat	wnc
Wandarang	wnd
Wanetsi	wne
Usan	wnu
Wobe	wob
Woleai	woe
Woisika	woi
Wolof	wol
Lebou	wol
Manui	wow
Warapu	wra
Wiradjuri	wrh
Wariyangga	wri
Warumungu	wrm
Waropen	wrp
Wardaman	wrr
Waris	wrs
Waray	wrz
Warembori	wsa
Waskia	wsk
Wotapuri-Katarqalai	wsv
Berta	wti
Mewati	wtm
Wotu	wtw
Wutun	wuh
Wuvulu	wuv
Waama	wwa
Warrwa	wwr
Wyandot	wya
Wongaibon	wyb
Kalmyk	xal
Oirat	xal
Torgut	xal
Kham	xam
Apalachee	xap
Kamassin	xas
Xavante	xav
Kawaiisu	xaw
Kambera	xbr
Celtiberian	xce
"Armenian, Classical"	xcl
Carian	xcr
Coahuilteco	xcw
Dacian	xdc
Lamandau	xdy
Eblaite	xeb
Hedi	xed
Faliscan	xfa
Khetrani	xhe
Xhosa	xho
Hattic	xht
Hurrian	xhu
Iberian	xib
Xinca	xin
Mendalam Kayan	xkd
Kgalagadi	xkv
Ngologa	xkv
Kamula	xla
Lycian	xlc
Lydian	xld
Median	xme
Mingrelian	xmf
Meroitic	xmr
Tsimihety	xmw
Northern Kankanay	xnn
Anglo-Norman	xno
Kangri	xnr
Soga	xog
Konkomba	xon
Phrygian	xpg
Parthian	xpr
Punic	xpu
Kraho	xra
Raetian	xrr
Sabaean	xsa
Tina Sambal	xsb
Sio	xsi
Kasem	xsm
Nunuma	xsm
Sherpa	xsr
Saisiyat	xsy
Ketengban	xte
Alu-Kurumba	xua
Umbrian	xum
Kuo	xuo
Urartian	xur
Khoikhoi	xuu
Venetic	xve
Vandal	xvn
Woccon	xwc
Zhangzhung	xzh
Jaminaua	yaa
Yagua	yad
Yaruro	yae
Yaka (Congo and Angola)	yaf
Yahgan	yag
Yazghulami	yah
Yaghnobi	yai
Yakama	yak
Yalunka	yal
Yamba (Cameroon and Nigeria)	yam
Yao (Africa)	yao
Yapese	yap
Yaqui	yaq
Gunu	yas
Yambeta	yat
Yakö	yaz
Yala	yba
Yemba	ybb
Yellow Uighur	ybe
Western Yugur	ybe
Yakha	ybh
Yamphu	ybi
Yabiyufa	yby
Yucuna	ycn
Yerava	yea
Yeniche	yec
Yimas	yee
Tarok	yer
Yerukala	yeu
Yeyi	yey
Hua (Papua New Guinea)	ygr
Yagaria	ygr
Yinggarda	yia
Yiddish	yid
Yidiny	yii
Jindjibandji	yij
Yimchungru	yim
Yir-Yoront	yiy
Yakan	yka
Yasa	yko
Yakoma	yky
Yele	yle
Nyalayu	yly
Iamalele	yml
Maay	ymm
Mysian	yms
Yana	ynn
Yahi	ynn
Yanzi	yns
Tanimuca-Retuama	ynu
Yogad	yog
Yokuts	yok
Yombe (Congo and Angola)	yom
Yongkom	yon
Ijebu	yor
Yoruba	yor
Yareba	yrb
Yaouré	yre
Nenets	yrk
Forest Nenets	yrk
Sirinek	ysr
Yessan-Mayo	yss
Yuchi	yuc
Havasupai	yuf
Hualapai	yuf
Yavapai	yuf
Yuruti	yui
Yuri	yuj
Yuki	yuk
Yulu	yul
Yupa	yup
Yurok	yur
Yopno	yut
Yugh	yuu
Eastern Yugur	yuy
Yuracare	yuz
Yawa	yva
Yau	yyu
Zaghawa	zag
Zanaki	zak
Zapotec	zap
Zenaga	zen
Kinga	zga
Zhuang	zha
Chinese	zho
Zigula	ziw
Khorezmian Turkic	zkh
Kott	zko
Zakhring	zkr
Khitan	zkt
Kaurna	zku
Deli	zlm
Pasir	zlm
Sambas	zlm
Margany	zmc
Mituku	zmq
Maranungku	zmr
Muruwari	zmu
Bomitaba	zmx
Zande	zne
Zou	zom
Papabuco	zpw
Zaparo	zro
Zulu	zul
Zuni	zun
Zway	zwa
Zaza	zza
